,Mkt,SMB,HML
200304,8.22,1.31,-0.09
200305,6.05,4.97,0.09
200306,1.42,1.62,0.71
200307,2.35,5.05,-2.04
200308,2.34,2.6,1.76
200309,-1.24,0.46,0.93
200310,6.08,2.78,1.69
200311,1.35,2.36,1.39
200312,4.29,-2.68,2.78
200401,2.15,2.5,1.66
200402,1.4,-0.86,0.44
200403,-1.32,2.15,-0.05
200404,-1.83,-2.48,-1.67
200405,1.17,-0.36,-0.26
200406,1.86,2.56,1.63
200407,-4.06,-3.09,4.56
200408,0.08,-1.23,1.24
200409,1.6,3.26,0.47
200410,1.43,0.29,-0.82
200411,4.54,4.21,1.94
200412,3.43,0.08,-0.37
200501,-2.76,-1.2,2.73
200502,1.89,-0.39,2.84
200503,-1.97,-1.42,1.7
200504,-2.61,-4.02,-0.45
200505,3.65,2.77,-1.21
200506,0.57,3.19,2.79
200507,3.92,2.75,-0.47
200508,-1.22,-0.87,1.47
200509,0.49,-0.35,1.11
200510,-2.02,-1.3,-0.67
200511,3.61,0.83,-1.85
200512,-0.25,-0.32,0.5
200601,3.04,5.7,1.17
200602,-0.3,-0.42,-0.85
200603,1.46,3.44,-0.14
200604,0.73,-0.82,3.06
200605,-3.57,-3.01,2.79
200606,-0.35,-0.38,1.49
200607,-0.78,-3.64,3.42
200608,2.03,0.44,-1.78
200609,1.84,-1.35,-0.5
200610,3.23,1.87,0.52
200611,1.71,0.77,0.53
200612,0.87,-0.71,2.55
200701,1.4,0.05,-0.05
200702,-1.96,1.38,0.23
200703,0.68,-0.06,0.37
200704,3.49,-2.02,-0.99
200705,3.24,0.24,-0.17
200706,-1.96,0.76,-1.03
200707,-3.73,-2.97,-2.99
200708,0.92,-0.3,-2.32
200709,3.22,-2.46,-2.11
200710,1.8,-0.02,-2.11
200711,-4.83,-2.91,-1.02
200712,-0.87,0.14,-0.01
200801,-6.36,-0.47,3.05
200802,-3.09,-0.63,0.01
200803,-0.93,0.65,0.24
200804,4.6,-1.12,-0.03
200805,1.86,3.09,-0.41
200806,-8.44,1.02,-1.02
200807,-0.77,4.11,3.64
200808,1.53,3.42,1.61
200809,-9.24,0.6,4.36
200810,-17.23,-3.11,-2.96
200811,-7.86,-4.23,-5.02
200812,1.74,3.57,-1.19
